Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Topological domain	Transmembrane	Subcellular location [CC]	Helix	Turn	Beta strand	RefSeq	BioGRID	STRING	Intramembrane
Q8IV61	reviewed	GRP3_HUMAN	Ras guanyl-releasing protein 3 (Calcium and DAG-regulated guanine nucleotide exchange factor III) (Guanine nucleotide exchange factor for Rap1)	RASGRP3 GRP3 KIAA0846	Homo sapiens (Human)	690								NP_001132960.1 [Q8IV61-1];NP_056191.1 [Q8IV61-2];NP_733772.1 [Q8IV61-1];XP_005264303.1;XP_011531048.1 [Q8IV61-1];XP_011531049.1;XP_011531050.2 [Q8IV61-1];XP_016859248.1 [Q8IV61-1];XP_016859249.1;XP_016859250.1 [Q8IV61-1];XP_016859251.1;XP_016859252.1;	117315;	9606.ENSP00000384192;	
Q8IXI1	reviewed	MIRO2_HUMAN	Mitochondrial Rho GTPase 2 (MIRO-2) (hMiro-2) (EC 3.6.5.-) (Ras homolog gene family member T2)	RHOT2 ARHT2 C16orf39	Homo sapiens (Human)	618	TISSUE SPECIFICITY: Ubiquitously expressed. Highly expressed in heart, liver, skeletal muscle, kidney and pancreas. {ECO:0000269|PubMed:12482879, ECO:0000269|PubMed:15218247}.	TOPO_DOM 1..592; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 616..618; /note="Mitochondrial intermembrane"; /evidence="ECO:0000255"	TRANSMEM 593..615; /note="Helical; Anchor for type IV membrane protein"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:12482879, ECO:0000269|PubMed:19528298}; Single-pass type IV membrane protein {ECO:0000269|PubMed:12482879, ECO:0000269|PubMed:19528298}. Note=Colocalizes with MGARP and RHOT2 at the mitochondria.	HELIX 429..436; /evidence="ECO:0007829|PDB:5KUT"; HELIX 476..479; /evidence="ECO:0007829|PDB:5KUT"; HELIX 500..511; /evidence="ECO:0007829|PDB:5KUT"; HELIX 539..545; /evidence="ECO:0007829|PDB:5KUT"; HELIX 565..575; /evidence="ECO:0007829|PDB:5KUT"; HELIX 577..579; /evidence="ECO:0007829|PDB:5KUT"	TURN 512..514; /evidence="ECO:0007829|PDB:5KUT"	STRAND 415..423; /evidence="ECO:0007829|PDB:5KUT"; STRAND 453..460; /evidence="ECO:0007829|PDB:5KUT"; STRAND 463..473; /evidence="ECO:0007829|PDB:5KUT"; STRAND 486..494; /evidence="ECO:0007829|PDB:5KUT"; STRAND 515..517; /evidence="ECO:0007829|PDB:5KUT"; STRAND 519..524; /evidence="ECO:0007829|PDB:5KUT"; STRAND 534..536; /evidence="ECO:0007829|PDB:5KUT"; STRAND 558..560; /evidence="ECO:0007829|PDB:5KUT"	NP_620124.1 [Q8IXI1-1];	124646;	9606.ENSP00000321971;	
Q8IXI2	reviewed	MIRO1_HUMAN	Mitochondrial Rho GTPase 1 (MIRO-1) (hMiro-1) (EC 3.6.5.-) (Rac-GTP-binding protein-like protein) (Ras homolog gene family member T1)	RHOT1 ARHT1	Homo sapiens (Human)	618	TISSUE SPECIFICITY: Ubiquitously expressed. Expressed at high level in heart and skeletal muscle. {ECO:0000269|PubMed:12482879}.	TOPO_DOM 1..592; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 616..618; /note="Mitochondrial intermembrane"; /evidence="ECO:0000255"	TRANSMEM 593..615; /note="Helical; Anchor for type IV membrane protein"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:12482879, ECO:0000269|PubMed:19528298}; Single-pass type IV membrane protein {ECO:0000269|PubMed:12482879, ECO:0000269|PubMed:19528298}. Note=Colocalizes with MGARP and RHOT2 at the mitochondria.	HELIX 183..196; /evidence="ECO:0007829|PDB:5KSZ"; HELIX 206..217; /evidence="ECO:0007829|PDB:5KSZ"; HELIX 225..234; /evidence="ECO:0007829|PDB:5KSZ"; HELIX 248..259; /evidence="ECO:0007829|PDB:5KSZ"; HELIX 266..273; /evidence="ECO:0007829|PDB:5KSZ"; HELIX 284..287; /evidence="ECO:0007829|PDB:5KSZ"; HELIX 303..316; /evidence="ECO:0007829|PDB:5KSZ"; HELIX 326..332; /evidence="ECO:0007829|PDB:5KSZ"; HELIX 333..335; /evidence="ECO:0007829|PDB:5KSZ"; HELIX 345..347; /evidence="ECO:0007829|PDB:5KSZ"; HELIX 359..372; /evidence="ECO:0007829|PDB:5KSZ"; HELIX 374..383; /evidence="ECO:0007829|PDB:5KSZ"; HELIX 386..389; /evidence="ECO:0007829|PDB:5KSZ"; HELIX 395..398; /evidence="ECO:0007829|PDB:5KSZ"; HELIX 405..410; /evidence="ECO:0007829|PDB:5KSZ"; HELIX 431..438; /evidence="ECO:0007829|PDB:5KSP"; HELIX 443..446; /evidence="ECO:0007829|PDB:5KSP"; HELIX 451..453; /evidence="ECO:0007829|PDB:5KSZ"; HELIX 484..487; /evidence="ECO:0007829|PDB:5KSP"; HELIX 504..514; /evidence="ECO:0007829|PDB:5KSP"; HELIX 542..548; /evidence="ECO:0007829|PDB:5KSP"; HELIX 568..577; /evidence="ECO:0007829|PDB:5KSP"	TURN 501..503; /evidence="ECO:0007829|PDB:5KU1"; TURN 515..517; /evidence="ECO:0007829|PDB:5KSP"	STRAND 201..204; /evidence="ECO:0007829|PDB:5KSZ"; STRAND 238..242; /evidence="ECO:0007829|PDB:5KSZ"; STRAND 245..247; /evidence="ECO:0007829|PDB:5KSZ"; STRAND 260..262; /evidence="ECO:0007829|PDB:5KU1"; STRAND 280..282; /evidence="ECO:0007829|PDB:5KSZ"; STRAND 299..301; /evidence="ECO:0007829|PDB:5KSZ"; STRAND 321..324; /evidence="ECO:0007829|PDB:5KSZ"; STRAND 336..338; /evidence="ECO:0007829|PDB:5KSZ"; STRAND 399..401; /evidence="ECO:0007829|PDB:5KSZ"; STRAND 418..424; /evidence="ECO:0007829|PDB:5KSP"; STRAND 457..464; /evidence="ECO:0007829|PDB:5KSP"; STRAND 467..476; /evidence="ECO:0007829|PDB:5KSP"; STRAND 490..497; /evidence="ECO:0007829|PDB:5KSP"; STRAND 518..520; /evidence="ECO:0007829|PDB:5KSZ"; STRAND 522..527; /evidence="ECO:0007829|PDB:5KSP"; STRAND 537..540; /evidence="ECO:0007829|PDB:5KSP"; STRAND 562..564; /evidence="ECO:0007829|PDB:5KSP"	NP_001028738.1 [Q8IXI2-7];NP_001028739.2;NP_001028740.1 [Q8IXI2-3];NP_001275683.1 [Q8IXI2-2];NP_001275684.1;NP_001275687.1;NP_060777.3 [Q8IXI2-1];	120576;		
Q8IZ41	reviewed	RASEF_HUMAN	Ras and EF-hand domain-containing protein (Ras-related protein Rab-45)	RASEF RAB45	Homo sapiens (Human)	740	TISSUE SPECIFICITY: Down-regulated in cutaneous melanoma cells but not in breast cancer cells. {ECO:0000269|PubMed:16174859}.			SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000269|PubMed:17448446}.	HELIX 4..20; /evidence="ECO:0007829|PDB:2PMY"; HELIX 30..39; /evidence="ECO:0007829|PDB:2PMY"; HELIX 44..54; /evidence="ECO:0007829|PDB:2PMY"; HELIX 64..67; /evidence="ECO:0007829|PDB:2PMY"; HELIX 69..73; /evidence="ECO:0007829|PDB:2PMY"; HELIX 554..563; /evidence="ECO:0007829|PDB:2P5S"; HELIX 604..613; /evidence="ECO:0007829|PDB:2P5S"; HELIX 626..630; /evidence="ECO:0007829|PDB:2P5S"; HELIX 632..642; /evidence="ECO:0007829|PDB:2P5S"; HELIX 656..658; /evidence="ECO:0007829|PDB:2P5S"; HELIX 659..664; /evidence="ECO:0007829|PDB:2P5S"; HELIX 672..682; /evidence="ECO:0007829|PDB:2P5S"; HELIX 697..708; /evidence="ECO:0007829|PDB:2P5S"	TURN 691..693; /evidence="ECO:0007829|PDB:2P5S"	STRAND 25..29; /evidence="ECO:0007829|PDB:2PMY"; STRAND 59..62; /evidence="ECO:0007829|PDB:2PMY"; STRAND 542..549; /evidence="ECO:0007829|PDB:2P5S"; STRAND 579..585; /evidence="ECO:0007829|PDB:2P5S"; STRAND 588..596; /evidence="ECO:0007829|PDB:2P5S"; STRAND 615..622; /evidence="ECO:0007829|PDB:2P5S"; STRAND 649..654; /evidence="ECO:0007829|PDB:2P5S"; STRAND 685..688; /evidence="ECO:0007829|PDB:2P5S"	NP_689786.2 [Q8IZ41-1];	127651;	9606.ENSP00000365630;	
Q8K4K1	reviewed	CETN4_MOUSE	Centrin-4 (Centrin4)	Cetn4 Cen4	Mus musculus (Mouse)	168	TISSUE SPECIFICITY: In brain, specifically expressed in ciliated cells. In retina, expression is localized to the connecting cilium and basal body of photoreceptors (at protein level). Highly expressed in brain, kidney, lung, retina and ovary, and weakly expressed in spleen. Not detected in testis, colon, stomach, thymus, skeletal muscle, heart, intestine or liver. {ECO:0000269|PubMed:12802058, ECO:0000269|PubMed:15347651}.			SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:12802058, ECO:0000269|PubMed:15347651, ECO:0000269|PubMed:18269917}. Cytoplasm {ECO:0000269|PubMed:12802058, ECO:0000269|PubMed:15347651, ECO:0000269|PubMed:18269917}. Note=Accumulates at procentrioles during their elongation. Isoform 3 is not observed in the centriole.				NP_665824.1 [Q8K4K1-1];		10090.ENSMUSP00000100020;	
Q8L636	reviewed	NCL_ARATH	Sodium/calcium exchanger NCL (Na(+)/Ca(2+)-exchange protein NCL) (Protein NCX-like) (AtNCL)	NCL At1g53210 F12M16.12	Arabidopsis thaliana (Mouse-ear cress)	585	TISSUE SPECIFICITY: Expressed in roots, leaves, stems, petals, stamens, ovules and siliques. {ECO:0000269|PubMed:23148213}.		TRANSMEM 83..103; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 106..126; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 149..169; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 212..232; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 239..259; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 427..447; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 457..477; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 505..525; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 532..552; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 558..578; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23148213}; Multi-pass membrane protein {ECO:0000255}. Vacuole membrane {ECO:0000269|PubMed:26296956}; Multi-pass membrane protein {ECO:0000255}.				NP_564623.2;		3702.AT1G53210.1;	
Q8L840	reviewed	RQL4A_ARATH	ATP-dependent DNA helicase Q-like 4A (EC 3.6.4.12) (RecQ-like protein 4A) (AtRecQ4A) (AtRecQl4A) (SGS1-like protein) (AtSGS1)	RECQL4A RECQ4A RQL4A SGS1 At1g10930 T19D16.15	Arabidopsis thaliana (Mouse-ear cress)	1188	TISSUE SPECIFICITY: Expressed in roots, seedlings, young leaves, shoots, shoot apical mersitem, inflorescences, flowers, siliques and seeds. {ECO:0000269|PubMed:11058127, ECO:0000269|PubMed:12856935}.			SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21265901}. Chromosome {ECO:0000269|PubMed:21265901}. Note=Associates with recombination intermediates and telomeres of meiotic chromosomes. {ECO:0000269|PubMed:21265901}.				NP_172562.2;		3702.AT1G10930.1;	
Q8LBL1	reviewed	KCO1_ARATH	Two-pore potassium channel 1 (AtTPK1) (Calcium-activated outward-rectifying potassium channel 1) (AtKCO1)	TPK1 KCO1 At5g55630 MDF20.7	Arabidopsis thaliana (Mouse-ear cress)	363	TISSUE SPECIFICITY: Detected in mesophyll cells, guard cells and vascular tissues of the leaves. Expressed in the hilum, where the funiculus is attached during fruit maturation and in the embryo. Also expressed at a lower level in seedlings, root tips and elongation zones, and flowers. Could be detected in mitotically active tissues. {ECO:0000269|PubMed:12148538, ECO:0000269|PubMed:16984403}.	TOPO_DOM 1..78; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 158..197; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 272..363; /note="Cytoplasmic"; /evidence="ECO:0000255"	TRANSMEM 79..99; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 137..157; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 198..218; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 251..271; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:12148538, ECO:0000269|PubMed:19825594, ECO:0000269|PubMed:21697507}; Multi-pass membrane protein {ECO:0000269|PubMed:12148538, ECO:0000269|PubMed:19825594, ECO:0000269|PubMed:21697507}. Note=Tonoplast.				NP_200374.1;NP_851196.1;	20901;	3702.AT5G55630.1;	INTRAMEM 111..130; /note="Pore-forming; Name=Pore-forming 1"; /evidence="ECO:0000255"; INTRAMEM 225..244; /note="Pore-forming; Name=Pore-forming 2"; /evidence="ECO:0000255"
Q8LIN5	reviewed	KCO2_ORYSJ	Two pore potassium channel b (Two K(+) channel b) (Calcium-activated outward-rectifying potassium channel 2) (OsKCO2)	TPKB KCO2 Os07g0108800 LOC_Os07g01810 OJ1567_G09.108 OsJ_22819 P0585H11.123	Oryza sativa subsp. japonica (Rice)	349		TOPO_DOM 1..66; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 144..180; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 255..349; /note="Cytoplasmic"; /evidence="ECO:0000255"	TRANSMEM 67..87; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 123..143; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 181..201; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 234..254; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:21224427}; Multi-pass membrane protein {ECO:0000269|PubMed:21224427}. Note=Tonoplast of protein storage vacuoles.						4530.OS07T0108800-01;	INTRAMEM 100..119; /note="Pore-forming; Name=Pore-forming 1"; /evidence="ECO:0000255"; INTRAMEM 208..227; /note="Pore-forming; Name=Pore-forming 2"; /evidence="ECO:0000255"
Q8N3E9	reviewed	PLCD3_HUMAN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-3) (Phospholipase C-delta-3) (PLC-delta-3)	PLCD3 KIAA1964	Homo sapiens (Human)	789	TISSUE SPECIFICITY: Present in corneal epithelial cells (at protein level). {ECO:0000269|PubMed:15505048}.			SUBCELLULAR LOCATION: Membrane; Peripheral membrane protein. Cytoplasm. Cleavage furrow {ECO:0000269|PubMed:17041247}. Note=Localizes at the cleavage furrow during cytokinesis. {ECO:0000269|PubMed:17041247}.				NP_588614.1;	125222;	9606.ENSP00000479636;	
Q8N7U6	reviewed	EFHB_HUMAN	EF-hand domain-containing family member B (Cilia- and flagella-associated protein 21)	EFHB CFAP21	Homo sapiens (Human)	833				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:30481768}. Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000250|UniProtKB:F1MMV1}.				NP_001317617.1 [Q8N7U6-3];NP_653316.3 [Q8N7U6-1];	127397;	9606.ENSP00000295824;	
Q8N987	reviewed	NECA1_HUMAN	N-terminal EF-hand calcium-binding protein 1 (EF-hand calcium-binding protein 1) (Neuronal calcium-binding protein 1)	NECAB1 EFCBP1	Homo sapiens (Human)	351	TISSUE SPECIFICITY: Expressed in brain (at protein level). {ECO:0000269|PubMed:12044471}.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.				NP_071746.1 [Q8N987-1];	122093;	9606.ENSP00000387380;	
Q8NFA0	reviewed	UBP32_HUMAN	Ubiquitin carboxyl-terminal hydrolase 32 (EC 3.4.19.12) (Deubiquitinating enzyme 32) (Renal carcinoma antigen NY-REN-60) (Ubiquitin thioesterase 32) (Ubiquitin-specific-processing protease 32)	USP32 USP10	Homo sapiens (Human)	1604				SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}. Golgi apparatus {ECO:0000269|PubMed:20549504}.				NP_115971.2 [Q8NFA0-1];	124189;	9606.ENSP00000300896;	
Q8NFH8	reviewed	REPS2_HUMAN	RalBP1-associated Eps domain-containing protein 2 (Partner of RalBP1) (RalBP1-interacting protein 2)	REPS2 POB1	Homo sapiens (Human)	660	TISSUE SPECIFICITY: Expressed at high levels in the cerebrum, cerebellum, lung, kidney, and testis. Weakly expressed in the kidney. Isoform 2 is down-regulated during progression of prostate cancer. {ECO:0000269|PubMed:12771942}.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12771942}.	HELIX 283..293; /evidence="ECO:0007829|PDB:1IQ3"; HELIX 303..309; /evidence="ECO:0007829|PDB:1IQ3"; HELIX 320..327; /evidence="ECO:0007829|PDB:1IQ3"; HELIX 337..352; /evidence="ECO:0007829|PDB:1IQ3"		STRAND 279..282; /evidence="ECO:0007829|PDB:1IQ3"; STRAND 296..302; /evidence="ECO:0007829|PDB:1IQ3"; STRAND 312..314; /evidence="ECO:0007829|PDB:1IQ3"; STRAND 329..331; /evidence="ECO:0007829|PDB:1IQ3"; STRAND 333..336; /evidence="ECO:0007829|PDB:1IQ3"	NP_001074444.1 [Q8NFH8-4];NP_004717.2 [Q8NFH8-1];	114622;	9606.ENSP00000349824;	
Q8NI22	reviewed	MCFD2_HUMAN	Multiple coagulation factor deficiency protein 2 (Neural stem cell-derived neuronal survival protein)	MCFD2 SDNSF	Homo sapiens (Human)	146				SUBCELLULAR LOCATION: Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000269|PubMed:12717434}. Endoplasmic reticulum {ECO:0000269|PubMed:12717434}. Golgi apparatus {ECO:0000269|PubMed:12717434}.	HELIX 70..78; /evidence="ECO:0007829|PDB:4YGB"; HELIX 90..97; /evidence="ECO:0007829|PDB:4YGB"; HELIX 114..128; /evidence="ECO:0007829|PDB:4YGB"; HELIX 138..142; /evidence="ECO:0007829|PDB:4YGB"		STRAND 85..89; /evidence="ECO:0007829|PDB:4YGB"; STRAND 106..108; /evidence="ECO:0007829|PDB:2VRG"; STRAND 133..137; /evidence="ECO:0007829|PDB:4YGB"	NP_001164977.1 [Q8NI22-1];NP_001164978.1 [Q8NI22-1];NP_001164979.1 [Q8NI22-1];NP_001164980.1 [Q8NI22-2];NP_001164981.1 [Q8NI22-2];NP_001164982.1 [Q8NI22-3];NP_644808.1 [Q8NI22-1];	124712;	9606.ENSP00000386651;	
Q8R3B1	reviewed	PLCD1_MOUSE	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-1) (Phospholipase C-delta-1) (PLC-delta-1)	Plcd1 Plcd	Mus musculus (Mouse)	756	TISSUE SPECIFICITY: Highly expressed in brain, heart, lung, epididymis and testis. Detected at lower levels in kidney and skeletal muscle. {ECO:0000269|PubMed:10425196}.							NP_001280577.1;NP_062650.1;	202236;	10090.ENSMUSP00000010804;	
Q8R426	reviewed	KCIP1_RAT	Kv channel-interacting protein 1 (KChIP1) (A-type potassium channel modulatory protein 1) (Potassium channel-interacting protein 1)	Kcnip1 Kchip1	Rattus norvegicus (Rat)	227	TISSUE SPECIFICITY: Detected in hippocampus and in the molecular layer of the dentate gyrus (at protein level) (PubMed:15356203). Isoform 1 and isoform 2 are predominantly expressed at equal levels in brain. Colocalizes with KCND3 in inhibitory interneurons in cortex and hippocampus and in striatal interneurons. {ECO:0000269|PubMed:10676964, ECO:0000269|PubMed:12646414, ECO:0000269|PubMed:15356203}.			SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14980206, ECO:0000269|PubMed:15356203}; Peripheral membrane protein {ECO:0000269|PubMed:14980206}. Cytoplasm {ECO:0000269|PubMed:14980206, ECO:0000269|PubMed:15356203}. Cell projection, dendrite {ECO:0000269|PubMed:15356203}.	HELIX 51..56; /evidence="ECO:0007829|PDB:1S6C"; HELIX 61..74; /evidence="ECO:0007829|PDB:1S6C"; HELIX 82..92; /evidence="ECO:0007829|PDB:1S6C"; HELIX 99..109; /evidence="ECO:0007829|PDB:1S6C"; HELIX 119..131; /evidence="ECO:0007829|PDB:1S6C"; HELIX 134..145; /evidence="ECO:0007829|PDB:1S6C"; HELIX 155..168; /evidence="ECO:0007829|PDB:1S6C"; HELIX 183..193; /evidence="ECO:0007829|PDB:1S6C"; HELIX 203..209; /evidence="ECO:0007829|PDB:1S6C"; HELIX 215..227; /evidence="ECO:0007829|PDB:1S6C"		STRAND 78..80; /evidence="ECO:0007829|PDB:1S6C"; STRAND 198..201; /evidence="ECO:0007829|PDB:1S6C"	NP_001248318.1 [Q8R426-1];NP_075218.2 [Q8R426-2];	249216;	10116.ENSRNOP00000007187;	
Q8R491	reviewed	EHD3_RAT	EH domain-containing protein 3	Ehd3 Ehd2	Rattus norvegicus (Rat)	535				SUBCELLULAR LOCATION: Recycling endosome membrane {ECO:0000250|UniProtKB:Q9NZN3}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cell membrane {ECO:0000250|UniProtKB:Q9NZN3}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cell projection, cilium membrane {ECO:0000250|UniProtKB:Q9NZN3}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Note=Localizes to the ciliary pocket from where the cilium protrudes. Colocalizes with RAB8A and MYO5B to a cytoplasmic tubular network devoid of RAB11A. Colocalizes with ANK2 in myocyte perinuclear region. Colocalizes with BACE1 in tubulovesicular cytoplasmic membranes. Colocalizes with BACE1 and APP amyloid beta proteins in hippocampal mossy fiber terminals. {ECO:0000250|UniProtKB:Q9NZN3, ECO:0000250|UniProtKB:Q9QXY6}.				NP_620245.2;	251376;	10116.ENSRNOP00000010419;	
Q8RWL2	reviewed	CDPKT_ARATH	Calcium-dependent protein kinase 29 (EC 2.7.11.1)	CPK29 At1g76040 T4O12.25	Arabidopsis thaliana (Mouse-ear cress)	534				SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.				NP_001319387.1 [Q8RWL2-2];NP_177731.2 [Q8RWL2-2];NP_974150.2;		3702.AT1G76040.2;	
Q8RXF8	reviewed	MIRO1_ARATH	Mitochondrial Rho GTPase 1 (AtMIRO1) (EC 3.6.5.-) (Miro-related GTPase 1)	MIRO1 At5g27540	Arabidopsis thaliana (Mouse-ear cress)	648	TISSUE SPECIFICITY: Expressed in roots, leaves, stems, flowers and siliques. {ECO:0000269|PubMed:18344283}.	TOPO_DOM 1..619; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 641..648; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305"	TRANSMEM 620..640; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000305|PubMed:18344283}; Single-pass type IV membrane protein {ECO:0000305}.				NP_001031953.1;NP_198106.1;		3702.AT5G27540.1;	
Q8S8S2	reviewed	LPCT2_ARATH	Lysophospholipid acyltransferase LPEAT2 (EC 2.3.1.23) (EC 2.3.1.n6) (EC 2.3.1.n7) (Lysophosphatidylethanolamine acyltransferase 2) (AtLPEAT2)	LPEAT2 At2g45670 F17K2.20	Arabidopsis thaliana (Mouse-ear cress)	539			TRANSMEM 93..113; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:33809440}; Single-pass membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000269|PubMed:33809440}; Single-pass membrane protein {ECO:0000255}.				NP_566051.1 [Q8S8S2-1];NP_566052.1 [Q8S8S2-2];	4511;	3702.AT2G45670.1;	
Q8VBV8	reviewed	GUC1B_MOUSE	Guanylyl cyclase-activating protein 2 (GCAP 2) (Guanylate cyclase activator 1B)	Guca1b	Mus musculus (Mouse)	201	TISSUE SPECIFICITY: Expressed in rod photoreceptors in the retina (at protein level). Expressed in cone photoreceptor cells (PubMed:9620085). {ECO:0000269|PubMed:15961391, ECO:0000269|PubMed:9620085}.			SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P51177}; Lipid-anchor {ECO:0000250|UniProtKB:P51177}. Photoreceptor inner segment {ECO:0000269|PubMed:9620085}. Cell projection, cilium, photoreceptor outer segment {ECO:0000269|PubMed:15961391, ECO:0000269|PubMed:9620085}. Note=Subcellular location is not affected by light or dark conditions. {ECO:0000269|PubMed:15961391}.				NP_666191.1;	223323;	10090.ENSMUSP00000024774;	
Q8VCX5	reviewed	MICU1_MOUSE	Calcium uptake protein 1, mitochondrial (Calcium-binding atopy-related autoantigen 1 homolog)	Micu1 Cbara1	Mus musculus (Mouse)	477	TISSUE SPECIFICITY: Expressed in skeletal muscle, heart, kidney, liver, brain, lung, fat and spleen. {ECO:0000269|PubMed:21685888, ECO:0000269|PubMed:23409044}.	TOPO_DOM 53..477; /note="Mitochondrial intermembrane"; /evidence="ECO:0000250|UniProtKB:Q9BPX6"	TRANSMEM 34..52; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q9BPX6}; Single-pass membrane protein {ECO:0000255}. Mitochondrion intermembrane space {ECO:0000250|UniProtKB:Q9BPX6}. Note=The topology is subject to debate. {ECO:0000250|UniProtKB:Q9BPX6}.				NP_001278371.1 [Q8VCX5-2];NP_001278372.1 [Q8VCX5-3];NP_659071.1 [Q8VCX5-1];	229685;	10090.ENSMUSP00000126597;	
Q8VDY4	reviewed	EFCB7_MOUSE	EF-hand calcium-binding domain-containing protein 7	Efcab7 Kiaa1799	Mus musculus (Mouse)	628				SUBCELLULAR LOCATION: Cell projection, cilium membrane {ECO:0000269|PubMed:24582806}; Peripheral membrane protein {ECO:0000269|PubMed:24582806}; Cytoplasmic side {ECO:0000269|PubMed:24582806}. Note=The EvC complex localizes at the base of cilia in the EvC zone of primary cilia in a EFCAB7-dependent manner (PubMed:24582806). {ECO:0000269|PubMed:24582806}.				NP_663524.1;			
Q8VE28	reviewed	NKD2_MOUSE	Protein naked cuticle homolog 2 (Naked-2) (mNkd2)	Nkd2	Mus musculus (Mouse)	461	TISSUE SPECIFICITY: Expressed in the cecum, colon, esophagus, ileum, jejunum, skin and stomach. {ECO:0000269|PubMed:11356022, ECO:0000269|PubMed:15064403, ECO:0000269|PubMed:15546883}.			SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q969F2}. Cytoplasm {ECO:0000250|UniProtKB:Q969F2}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:Q969F2}.				NP_001334464.1 [Q8VE28-2];NP_082462.3 [Q8VE28-1];	215287;	10090.ENSMUSP00000022051;	
